"Código CPE";"Categoría del CPE";"Comunidad Autónoma";"CPE";"Unidades de medida"
"SOC_CLND019";"Otros cultivos de raíces n.c.o.p.";"Comunidad Autónoma del País Vasco";"752.91";"€/ha"
"SOC_CLND019";"Otros cultivos de raíces n.c.o.p.";"Comunidad Autónoma de La Rioja";"865.63";"€/ha"
"SOC_CLND022";"Semillas de colza y nabina";"Comunidad Autónoma de Andalucía";"531.05";"€/ha"
"SOC_CLND022";"Semillas de colza y nabina";"Comunidad Autónoma de Aragón";"998.15";"€/ha"
"SOC_CLND022";"Semillas de colza y nabina";"Principado de Asturias";"936.26";"€/ha"
"SOC_CLND022";"Semillas de colza y nabina";"Comunidad Autónoma de Illes Balears";"936.26";"€/ha"
"SOC_CLND022";"Semillas de colza y nabina";"Comunidad Autónoma de Canarias";"936.26";"€/ha"
"SOC_CLND022";"Semillas de colza y nabina";"Comunidad Autónoma de Cantabria";"637.38";"€/ha"
"SOC_CLND022";"Semillas de colza y nabina";"Comunidad Autónoma de Castilla y León";"979.74";"€/ha"
"SOC_CLND022";"Semillas de colza y nabina";"Comunidad Autónoma de Castilla-La Mancha";"886.57";"€/ha"
"SOC_CLND022";"Semillas de colza y nabina";"Comunidad Autónoma de Cataluña";"916.66";"€/ha"
"SOC_CLND022";"Semillas de colza y nabina";"Comunidad Valenciana";"655.07";"€/ha"
"SOC_CLND022";"Semillas de colza y nabina";"Comunidad Autónoma de Extremadura";"688.7";"€/ha"
"SOC_CLND022";"Semillas de colza y nabina";"Comunidad Autónoma de Galicia";"936.26";"€/ha"
"SOC_CLND022";"Semillas de colza y nabina";"Comunidad de Madrid";"780.31";"€/ha"
"SOC_CLND022";"Semillas de colza y nabina";"Región de Murcia";"936.26";"€/ha"
"SOC_CLND022";"Semillas de colza y nabina";"Comunidad Foral de Navarra";"987.89";"€/ha"
"SOC_CLND022";"Semillas de colza y nabina";"Comunidad Autónoma del País Vasco";"1095.62";"€/ha"
"SOC_CLND022";"Semillas de colza y nabina";"Comunidad Autónoma de La Rioja";"1428.67";"€/ha"
"SOC_CLND023";"Semillas de girasol";"Comunidad Autónoma de Andalucía";"616.77";"€/ha"
"SOC_CLND023";"Semillas de girasol";"Comunidad Autónoma de Aragón";"673.94";"€/ha"
"SOC_CLND023";"Semillas de girasol";"Principado de Asturias";"490.56";"€/ha"
"SOC_CLND023";"Semillas de girasol";"Comunidad Autónoma de Illes Balears";"622.45";"€/ha"
"SOC_CLND023";"Semillas de girasol";"Comunidad Autónoma de Canarias";"490.56";"€/ha"
"SOC_CLND023";"Semillas de girasol";"Comunidad Autónoma de Cantabria";"567.72";"€/ha"
"SOC_CLND023";"Semillas de girasol";"Comunidad Autónoma de Castilla y León";"490.26";"€/ha"
"SOC_CLND023";"Semillas de girasol";"Comunidad Autónoma de Castilla-La Mancha";"293.68";"€/ha"
"SOC_CLND023";"Semillas de girasol";"Comunidad Autónoma de Cataluña";"739.52";"€/ha"
"SOC_CLND023";"Semillas de girasol";"Comunidad Valenciana";"381.14";"€/ha"
