"Código cultivo SIEX";"Cultivo SIEX";"Asociación de cultivos";"Código CPE";"Categoría del CPE"
"218";"HIGUERA";"NO";"SOC_CLND058";"Frutas de zonas de clima subtropical y tropical"
"219";"FRESA";"NO";"SOC_CLND044";"Hortalizas frescas (incluidos melones) y fresas - Horticultura comercial"
"220";"CAÑA DE AZÚCAR";"NO";"SOC_CLND035_036";"Cultivos energéticos y otros cultivos industriales n.c.o.p."
"222";"QUINOA";"NO";"SOC_CLND010_011_012";"Triticale, sorgo y otros cereales n.c.o.p. (alforfón, mijo, alpiste, etc.)"
"223";"MISCANTHUS";"NO";"SOC_CLND038";"Pastos y prados temporales"
"226";"OPUNTIA";"NO";"SOC_CLND058";"Frutas de zonas de clima subtropical y tropical"
"236";"CAÑA COMÚN";"NO";"SOC_CLND038";"Pastos y prados temporales"
"238";"ALTRAMUZ AMARILLO";"NO";"SOC_CLND014";"Leguminosas y proteaginosas secas para la producción de grano (incluidas las semillas y las mezclas de cereales con leguminosas)"
"239";"ALMORTA";"NO";"SOC_CLND014";"Leguminosas y proteaginosas secas para la producción de grano (incluidas las semillas y las mezclas de cereales con leguminosas)"
"240";"TITARROS";"NO";"SOC_CLND014";"Leguminosas y proteaginosas secas para la producción de grano (incluidas las semillas y las mezclas de cereales con leguminosas)"
"241";"MEZCLA AVENA-VEZA";"NO";"SOC_CLND038";"Pastos y prados temporales"
"242";"MEZCLA TRITICALE-VEZA";"NO";"SOC_CLND038";"Pastos y prados temporales"
"243";"MEZCLA TRIGO-VEZA";"NO";"SOC_CLND038";"Pastos y prados temporales"
"244";"MEZCLA CEBADA-VEZA";"NO";"SOC_CLND038";"Pastos y prados temporales"
"245";"MEZCLA AVENA-ZULLA";"NO";"SOC_CLND038";"Pastos y prados temporales"
"246";"MEZCLA CEBADA-ZULLA";"NO";"SOC_CLND038";"Pastos y prados temporales"
"247";"CULTIVOS MIXTOS DE ESPECIES PRATENSES";"NO";"SOC_CLND038";"Pastos y prados temporales"
"248";"ALGARROBA";"NO";"SOC_CLND014";"Leguminosas y proteaginosas secas para la producción de grano (incluidas las semillas y las mezclas de cereales con leguminosas)"
"249";"ALVERJA";"NO";"SOC_CLND014";"Leguminosas y proteaginosas secas para la producción de grano (incluidas las semillas y las mezclas de cereales con leguminosas)"
"250";"ALBERJÓN";"NO";"SOC_CLND014";"Leguminosas y proteaginosas secas para la producción de grano (incluidas las semillas y las mezclas de cereales con leguminosas)"
"251";"AJEDREA";"NO";"SOC_CLND034";"Plantas aromáticas, medicinales y culinarias"
"252";"CILANTRO";"NO";"SOC_CLND034";"Plantas aromáticas, medicinales y culinarias"
"253";"ANÍS DULCE";"NO";"SOC_CLND034";"Plantas aromáticas, medicinales y culinarias"
"254";"ENELDO";"NO";"SOC_CLND034";"Plantas aromáticas, medicinales y culinarias"
"256";"VALERIANA";"NO";"SOC_CLND034";"Plantas aromáticas, medicinales y culinarias"
"257";"ARTEMISA";"NO";"SOC_CLND034";"Plantas aromáticas, medicinales y culinarias"
"258";"GENCIANA";"NO";"SOC_CLND034";"Plantas aromáticas, medicinales y culinarias"
"259";"HISOPO";"NO";"SOC_CLND034";"Plantas aromáticas, medicinales y culinarias"
"260";"HINOJO";"NO";"SOC_CLND034";"Plantas aromáticas, medicinales y culinarias"
"261";"PEREJIL";"NO";"SOC_CLND034";"Plantas aromáticas, medicinales y culinarias"
"262";"AZAFRÁN";"NO";"SOC_CLND035_036";"Cultivos energéticos y otros cultivos industriales n.c.o.p."
"263";"TOMILLO";"NO";"SOC_CLND034";"Plantas aromáticas, medicinales y culinarias"
"264";"ALBAHACA";"NO";"SOC_CLND034";"Plantas aromáticas, medicinales y culinarias"
"265";"MELISA O TORONJIL";"NO";"SOC_CLND034";"Plantas aromáticas, medicinales y culinarias"
"266";"MENTA";"NO";"SOC_CLND034";"Plantas aromáticas, medicinales y culinarias"
"267";"ORÉGANO";"NO";"SOC_CLND034";"Plantas aromáticas, medicinales y culinarias"
"268";"SALVIA";"NO";"SOC_CLND034";"Plantas aromáticas, medicinales y culinarias"
"269";"PERIFOLLO";"NO";"SOC_CLND034";"Plantas aromáticas, medicinales y culinarias"
"270";"ESTRAGÓN";"NO";"SOC_CLND034";"Plantas aromáticas, medicinales y culinarias"
"271";"MEJORANA";"NO";"SOC_CLND034";"Plantas aromáticas, medicinales y culinarias"
"272";"CALÉNDULA";"NO";"SOC_CLND034";"Plantas aromáticas, medicinales y culinarias"
"273";"COMINO";"NO";"SOC_CLND034";"Plantas aromáticas, medicinales y culinarias"
"274";"ESTEVIA";"NO";"SOC_CLND034";"Plantas aromáticas, medicinales y culinarias"
"275";"HIPÉRICO";"NO";"SOC_CLND034";"Plantas aromáticas, medicinales y culinarias"
"276";"HIERBABUENA";"NO";"SOC_CLND034";"Plantas aromáticas, medicinales y culinarias"
"277";"VERBENA";"NO";"SOC_CLND034";"Plantas aromáticas, medicinales y culinarias"
"278";"FRUTOS DEL BOSQUE";"NO";"SOC_CLND059";"Bayas (excepto fresas)"
"279";"ESPÁRRAGO";"NO";"SOC_CLND044";"Hortalizas frescas (incluidos melones) y fresas - Horticultura comercial"
"280";"TRUFA";"NO";"SOC_CLND071";"Otros cultivos permanentes"
"281";"LAVANDA";"NO";"SOC_CLND035_036";"Cultivos energéticos y otros cultivos industriales n.c.o.p."
"282";"LAVANDÍN";"NO";"SOC_CLND035_036";"Cultivos energéticos y otros cultivos industriales n.c.o.p."
"283";"ALCAPARRA";"NO";"SOC_CLND071";"Otros cultivos permanentes"
"284";"AJENJO";"NO";"SOC_CLND034";"Plantas aromáticas, medicinales y culinarias"
"285";"ESPLIEGO";"NO";"SOC_CLND034";"Plantas aromáticas, medicinales y culinarias"
"286";"HELICRISO";"NO";"SOC_CLND034";"Plantas aromáticas, medicinales y culinarias"
"287";"HIERBALUISA";"NO";"SOC_CLND034";"Plantas aromáticas, medicinales y culinarias"
"288";"ROMERO";"NO";"SOC_CLND034";"Plantas aromáticas, medicinales y culinarias"
"289";"SANTOLINA";"NO";"SOC_CLND034";"Plantas aromáticas, medicinales y culinarias"
"290";"ALOE VERA";"NO";"SOC_CLND034";"Plantas aromáticas, medicinales y culinarias"
"291";"CAFÉ";"NO";"SOC_CLND035_036";"Cultivos energéticos y otros cultivos industriales n.c.o.p."
"292";"GROSELLERO NEGRO";"NO";"SOC_CLND059";"Bayas (excepto fresas)"
